glibc,package#live_build_log,"undefined method `check_source_access?' for nil:NilClass

unless @package.check_source_access?
               ^^^^^^^^^^^^^^^^^^^^^ #",RuntimeError,issue-13176.md
libliveMedia106,Package Retrieval,"Retrieving package libliveMedia106-2022.04.26-66.4.x86_64
File './x86_64/libliveMedia106-2022.04.26-66.4.x86_64.rpm' not found on medium 'https://download.opensuse.org/repositories/home:/plater/Tumbleweed/'",Missing Dependencies,issue-13197.md
,Network Configuration,The VM cannot obtain an IP address in bridge mode. Issues with DHCP service or network configuration.,Configuration Issue,issue-13198.md
elemental-cli,SCM/CI Integration,.obs/workflows.yml could not be downloaded from the SCM branch/commit 0f399c267d91f7a0ff00cec961d9b3b9ab8f3c8f: GET https://api.github.com/repos/rancher/elemental-cli/contents//.obs/workflows.yml?ref=0f399c267d91f7a0ff00cec961d9b3b9ab8f3c8f: 404 - No commit found for the ref 0f399c267d91f7a0ff00cec961d9b3b9ab8f3c8f,Missing Dependencies,issue-13206.md
obs-server.x86_64-oem.iso,Installation,None,Space Constraint,issue-13259.md
,,,,issue-13261.md
rancher-desktop,Publishing,The 'latest' link in the download repository is not updated upon new AppImage builds.,IncorrectSymlink,issue-13264.md
python38-sentry-sdk,publishing,"OBS publisher itself is handling this situation fine, as the former binary stays. But this is an issue with product builder, which has no information that there was one released in former build.",incompatible_publishing_logic,issue-13279.md
None,UI Interaction,None,UI/UX Issue,issue-13280.md
389-ds-container,branch_package_step,Incorrect <scmsync> tag set in the meta of the branched package.,IncorrectSyntax,issue-13290.md
None,runtime,"@server_properties = connection_start.server_properties
                                                          ^^^^^^^^^^^^^^^^^^

undefined method `server_properties' for #<AMQ::Protocol::Connection::Close:0x00007fe68a710f48 @reply_code=501, @reply_text=""FRAME_ERROR - type 65, all octets = <<>>: {frame_too_large,1342177289,131064}"", @class_id=0, @method_id=0>",incompatible_usage,issue-13294.md
None,Request Processing,"The issue seems to be related to fetching key information for a project, possibly due to missing or incorrect RSA keys required for OpenSSL signing. The error originates from the backend service when trying to get the key info.",Missing Dependencies,issue-13295.md
obs-server,,,,issue-13297.md
,API Response Handling,Product lists are empty unless `expand` parameter is given.,API Bug,issue-13301.md
test,badge#show,"undefined method `[]' for nil:NilClass

return Rails.application.assets[filename].source if results.blank?
                                   ^^^^^^^^^^
",nil_reference_error,issue-13320.md
,,,,issue-13337.md
None,trigger_workflow#create,private method `target_project_name' called for #<Workflow::Step::SetFlags:0x00007f93c65a07b0>,MethodError,issue-13338.md
openfx-arena,Dependency resolution,unresolvable dependencies,missing dependencies,issue-13362.md
,,,,issue-13368.md
obs-service-cargo_vendor,,,,issue-13378.md
thunderbird-beta,Build,Cannot find the gzip binary required for compressing man and info pages.,missing dependencies,issue-13389.md
"qt4, firefox-beta",stalled at finished,None,None,issue-13390.md
None,runtime,Association named 'link' was not found on ReleaseTarget; perhaps you misspelled it?,undefined_method_or_attribute,issue-13398.md
base-devel,Build Time,==> ERROR: Cannot find the gzip binary required for compressing man and info pages.,missing dependencies,issue-13403.md
,,,,issue-13406.md
,Frontend,,Bug,issue-13414.md
rust-1.64-image,runtime,"undefined method `buildresult' for nil:NilClass
@buildresults = @package.buildresult(@project, show_all)",null_object_reference,issue-13417.md
,,,,issue-13432.md
python-openqa_client,API Request Diff,"The diff call for home:cdywan:branches:devel:languages:python/python-openqa_client failed: bad link: conflict in file _service
",File Conflict,issue-13443.md
openSUSE/open-build-service,frontend,None,UI Shift,issue-13477.md
,Frontend,,Bug,issue-13527.md
ctris,EventSubscription creation,None,Bug,issue-13535.md
Clear Linux package,,,,issue-13539.md
None,None,None,None,issue-13543.md
,Project Restoration,500 error page initially; later an inline notification,Bug,issue-13544.md
libmlt,badge#show,No such file or directory @ rb_sysopen - /srv/www/obs/api/public/badge-.svg,missing_file,issue-13560.md
rpmlint,Badge status calculation,"The badge status incorrectly includes excluded results, leading to misleading percentages and statuses.",Bug,issue-13582.md
,,,,issue-13585.md
,Frontend,None,Bug,issue-13604.md
,,,,issue-13610.md
openSUSE:Factory:openh264,Project Lookup,Project not found: openSUSE:Factory:openh264,Resource Not Found,issue-13636.md
,,,,issue-13639.md
None,project destruction process,"# Association named 'link' was not found on ReleaseTarget; perhaps you misspelled it?

The error occurred during the project destruction process, where an attempt to remove a project encountered an issue due to an undefined association named 'link'. This problem might be caused by a typo or an incorrect reference to an association.

Backtrace shows that the error originated from the cleanup_before_destroy method in the Project model, which is part of the cleanup process before destroying a project.",undefined association,issue-13673.md
,,,,issue-13677.md
,Live build log scrolling,,Bug,issue-13689.md
mail-2.8.0.1,Initialization,:arguments expected to be an Array of individual string args,Incompatible API Changes,issue-13705.md
None,request#show,"undefined method `staging_workflow_id' for nil:NilClass

for_project? && !project.staging_workflow_id.nil?",nil_reference_error,issue-13706.md
None,request#show,"# undefined method `each_line' for nil:NilClass

    @content.each_line.with_index do |line, line_index|
            ^^^^^^^^^^ #",nil_object_method_call,issue-13711.md
None,Frontend,No diff is rendered,Bug,issue-13713.md
GitLab,Request Parsing,The response is not a valid JSON,Invalid Response Format,issue-13716.md
None,request#show,"# undefined method `[]=' for nil:NilClass

        sourcediff['files'][filename]['diff']['parsed_lines'] = DiffParser.new(content: content).call
                                             ^^^^^^^^^^^^^^^^^^ #",nil_reference_error,issue-13718.md
,repository initialization,An error occurred during repository initialization. [https-download.opensuse.org-5fcd8163|https://download.opensuse.org/update/leap/15.4/sle] Valid metadata not found at specified URL History: - Signature verification failed for repomd.xml - Can't provide /repodata/repomd.xml,signature verification issue,issue-13763.md
,User Interaction,,Button Functionality Issue,issue-13767.md
,,,,issue-13790.md
stern,Branching package,"unresolvable: nothing provides go >= 1.19
(got version 1.4.3 provided by go1.4)
(got version 1.11.13 provided by go1.11)
(got version 1.12.17 provided by go1.12)
(got version 1.15.15 provided by go1.15)",missing dependencies,issue-13799.md
openSUSE open-build-service,trigger#create,"undefined method `payload' for nil:NilClass
raise Token::Errors::MissingPayload, 'A payload is required' if @scm_webhook.payload.blank?",Null Pointer Exception,issue-13849.md
None,Runtime,undefined method `token_services_path' for #<ActionView::Base:0x00000000031b78>,Undefined Method,issue-13853.md
None,Query Execution,"offset out of bounds (offset=93040, max_matches=15000)",Invalid Query Parameters,issue-13868.md
,Publishing Process,OVA files are not being published to /srv/obs/repos/ as expected.,Publication Issue,issue-13873.md
scripts,trigger#create,undefined method `gsub' for #<ActionController::UnfilteredParameters: unable to convert unpermitted parameters to hash>,Improper parameter handling,issue-13883.md
,,,,issue-13890.md
,Webui::PackageController#revision,,Bug,issue-13893.md
None,Frontend,None,Bug,issue-13901.md
lutris,Clicking on 'Requires' table links,"See error  ""Architecture '' is invalid""",Broken Links,issue-13903.md
OBS,Installation,The attributes listed do not get created automatically after installation.,MissingAttributes,issue-13931.md
None,request#show,undefined method `maintainers' for nil:NilClass,nil_object_error,issue-13994.md
None,Runtime,"# undefined method `package_command_wipe' for #<SourceController:0x00000000044318>

    __send__(cmd_handler)
    ^^^^^^^^
Did you mean?  package_command
               package_command_copy
               package_command_diff",MethodMissing,issue-13996.md
test,source#package_command,"undefined method `repositories' for #<Package id: 7553489, project_id: 1053212, name: ""test"", title: """", description: """", created_at: ""2022-10-18 09:26:10.000000000 +0000"", updated_at: ""2023-03-14 09:49:25.744274000 +0000"", url: nil, activity_index: 36.1705, bcntsynctag: nil, develpackage_id: nil, delta: true, releasename: nil, kiwi_image_id: nil, scmsync: nil>",undefined_method,issue-13997.md
,After Deployment,There has been an internal error. Please try again.,None,issue-14007.md
openSUSE:Leap:15.2:ARM:Images,Rendering,undefined method `fingerprint' for nil:NilClass,MethodError,issue-14029.md
None,database_operation,Mysql2::Error: Deadlock found when trying to get lock; try restarting transaction,database_deadlock,issue-14046.md
elemental-toolkit,sanity checks on tag_push events,Filters for branches are not supported for the tag push event,Configuration Error,issue-14048.md
Flipper,Initialization,"# uninitialized constant Flipper::VERSION
Did you mean?  Person",MissingConstant,issue-14062.md
gtk3:doc,Package Removal and Build Failure,Server returned an error: HTTP Error 404: unknown package 'gtk3 doc',Missing Package,issue-14067.md
openSUSE/open-build-service,SCM/CI Workflow integration,"<status code=""non_existent_workflows_file"">
  <summary>.obs/workflows.yml could not be downloaded from the SCM branch/commit abcd1234.
Is the configuration file in the expected place? Check https://openbuildservice.org/help/manuals/obs-user-guide/cha.obs.scm_ci_workflow_integration.html#sec.obs.obs_scm_ci_workflow_integration.setup.obs_workflows
403 Forbidden</summary>
</status>",Access Denied,issue-14079.md
bull,tokens#create,undefined method `new_record?' for nil:NilClass,nil_class_method_error,issue-14081.md
rpcs3-0.0.27~git20230409.obscpio,Creation/Compression,"The file size of rpcs3-0.0.27~git20230409.obscpio is 1.7GB, much larger than expected.",Unnecessary large file size,issue-14127.md
,API Request,"Review invalid: Project can't be blank

Server returned an error: HTTP Error 400: Bad Request

HTTPHeaderDict(...)
b'<status code=""invalid_review"">
  <summary>Review invalid: Project can\'t be blank</summary>
</status>\n'",IncorrectInput,issue-14148.md
airbrake.rb,Configuration,Typo in src/api/config/initializers/airbrake.rb: 'blacklist_keys' should be 'blocklist_keys',Typo,issue-14170.md
openSUSE/open-build-service,Migration Execution,The changes in new migrations are applied into the database but the `db/schema.rb` is never updated and `rails db:version` always returns `202302224114624`.,Database Mismatch,issue-14184.md
open-build-service,Execution,# undefined method `server_properties' for #<AMQ::Protocol::Connection::Close:0x00007fe24f3a4600 ...,MethodMissing,issue-14190.md
BsRequestActionSubmit,Rendering notifications feed,"undefined method `number' for #<BsRequestActionSubmit id: 2853994, bs_request_id: 2463943, type: ""submit"", target_project: ""openSUSE:Factory"", target_package: ""CalcMySky"", target_releaseproject: nil, source_project: ""Education"", source_package: ""CalcMySky"", source_rev: ""5ff886f82d0520588f2c4c1c0bb36cc1"", sourceupdate: nil, updatelink: false, person_name: nil, group_name: nil, role: nil, created_at: ""2023-04-20 10:11:30.000000000 +0000"", target_repository: nil, makeoriginolder: false, target_package_id: 7611686, target_project_id: 110>",MethodMissingError,issue-14194.md
rubygem-sassc-2.2,Deletion Request,"Server returned an error: HTTP Error 404: Not Found
Couldn't find Package with [WHERE `packages`.`id` NOT IN (SELECT `packages`.`id` FROM `packages` WHERE `packages`.`project_id` = ?) AND `packages`.`project_id` = ? AND `packages`.`name` = ?]",Not Found,issue-14205.md
None,request#conversation,"# undefined method `[]' for nil:NilClass
## Params
{
  ""action"" => ""conversation"",
  ""controller"" => ""webui/request"",
  ""number"" => ""1084068"",
  ""request_action_id"" => ""2864943""
}
## Backtrace
...
## Environment
| Key        | Value      |
|------------|------------|
| program_name | Passenger RubyApp: /srv/www/obs/api (production) |
| HTTP_USER_AGENT | Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/112.0 |",nil:nilClass,issue-14273.md
salt-api_3006.0+ds-1+214.1.uyuni_all.deb,Viewing details from WebUI,"There has been an internal error. Please try again.

<status code=""400"">
  <summary>excess hash entries: sourcedep</summary>
</status>","Internal Error, HTTP 400 Bad Request",issue-14292.md
"cross-toolchain-base-ports, gcc-cross",downloading,blocked: downloading 2 dod packages,missing dependencies,issue-14293.md
,When loading the page https://build.opensuse.org/request/show/1085792,Error 500,None,issue-14301.md
None,request#show,Couldn't find User with login = coolo-factory,Data Missing or Incorrect,issue-14302.md
mod_passenger,Configuration and Startup,"Invalid command 'PassengerSpawnMethod', perhaps misspelled or defined by a module not included in the server configuration",MissingDependencies,issue-14350.md
,,,,issue-14358.md
Java:packages/miglayout,request#changes,[See this exception on Errbit](http://errbit.opensuse.org/apps/5620ca2bdc71fa00b1000000/problems/646e133f84bf4605de65614b),missing dependencies,issue-14377.md
None,request#changes,"# Project not found: home:e9925248:branches:openSUSE:Backports:SLE-12-SP5

The project or package specified could not be found within the system.",Not Found,issue-14392.md
intel-graphics-compiler,Diff generation,"/srv/obs/sources/intel-graphics-compiler/fa2cfb6af7e0b22026cf62b3d1cfbcc1-vc-intrinsics.zip: not a (commentless) zip archive
Object does not exist",File format issue,issue-14400.md
None,Database Insertion,Mysql2::Error: Duplicate entry 'Windows2333' for key 'users_login_index',Data Integrity Violation,issue-14404.md
openSUSE/open-build-service,API registration process,ActiveRecord::StatementInvalid (Mysql2::Error: Incorrect string value: '\xF0\x9F\x9A\x80' for column `api_development`.`users`.`realname` at row 1),Encoding issue,issue-14411.md
,,,,issue-14417.md
ctris,Package Build Process,SSL_connect error: Resource temporarily unavailable,SSL/TLS Error,issue-14420.md
None,Frontend,"undefined method `to_sym' for nil:NilClass

    case type.to_sym
             ^^^^^^^",RuntimeError,issue-14445.md
None,request#changes,"# undefined method `start_with?` for nil:NilClass

    return name if name.start_with?('patchinfo:', 'product:')
                       ^^^^^^^^^^^^
",runtime error,issue-14454.md
openSUSE/open-build-service,Accessing Notifications,500: Internal Server Error,Server Error,issue-14460.md
,API Response Handling,The API returns a 200 OK status when a non-existent check name is provided.,"Bug, Unexpected Behavior",issue-14475.md
podman,API Request Processing,"The issue arises from receiving an overly detailed XML request that does not conform to expected schemas or validations, leading to a 500 error instead of a more user-friendly 400 error.",Invalid Request Format,issue-14492.md
pkg1,database insertion,Mysql2::Error: Incorrect string value: '\xF0\x9F\x93\xA6 P...' for column `obs_production`.`packages`.`title` at row 1,encoding_issue,issue-14507.md
None,db:setup writeconfiguration data:schema:load,"ActiveRecord::InvalidForeignKey: Mysql2::Error: Cannot delete or update a parent row: a foreign key constraint fails
/srv/www/obs/api/db/schema.rb:14:in `block in <top (required)>'
/srv/www/obs/api/db/schema.rb:13:in `<top (required)>'

Caused by:
Mysql2::Error: Cannot delete or update a parent row: a foreign key constraint fails
/srv/www/obs/api/db/schema.rb:14:in `block in <top (required)'>
/srv/www/obs/api/db/schema.rb:13:in `<top (required)'>",foreign key constraint issue,issue-14517.md
open-build-service,Database Schema Load,ActiveRecord::InvalidForeignKey: Mysql2::Error: Cannot delete or update a parent row: a foreign key constraint fails,Foreign Key Constraint Violation,issue-14518.md
ClamAV-GUI,Input Fields Validation,Mysql2::Error: Data too long for column 'url' at row 1,Data Truncation,issue-14544.md
SUSE:SLE-15-SP4:Update:QR:QU3 000product:SLES-cd-Full-x86_64,KIWI report generation,.report files contain just 'QU3' instead of the expected XML,IncorrectOutputFormat,issue-14557.md
None,None,None,Bug,issue-14576.md
ImageMagick,Repository Access,SSL certificate problem: certificate has expired,Certificate Expired,issue-14577.md
devel:Factory:git-workflow:staging:SCM_STAGING:par_text:1/par_text,submitrequest_creation,"The issue arises when OBS picks an unexpected srcmd5 for the package during the creation of submitrequests, leading to requests that attempt to delete all sources despite the actual source package being intact.",Unexpected_behavior,issue-14589.md
open-build-service,Rendering,"undefined method `truncate' for X({}):Xmlhash::XMLHash
Did you mean?  trust",Runtime Error,issue-14594.md
rawspeed,,,,issue-14623.md
,,,,issue-14624.md
acl-2.3.1-2.amzn2023.0.2.x86_64.rpm,Repository Download,http://cdn.amazonlinux.com/al2023/core/guids/46ff4933b89b948580f3b223b826fee3c1830b85885db3f7f90502c0ac99698c/x86_64/../../../../blobstore/d4bc54fde91b3f7552dad9a45c65631e580f11da2c4ba704c6a3fe5eb419e251/acl-2.3.1-2.amzn2023.0.2.x86_64.rpm: remote error: Forbidden,Network Error,issue-14654.md
delayed_job,runtime,"# undefined method `value' for nil:NilClass

    starttime = daemon.attributes['starttime'].value
                                              ^^^^^^",nil_pointer_exception,issue-14677.md
obs-server-2.11~alpha.20230720T181351.7c9d470ac-150500.15809.2.noarch,migrate_options_yml,"To use retry middleware with Faraday v2.0+, install `faraday-retry` gem

Psych::BadAlias: Unknown alias: default

/srv/www/obs/api/lib/tasks/migrate_options_yml.rake:6:in `block in <top (required)>'

Tasks: TOP => migrate_options_yml

(See full trace by running task with --trace)",missing dependencies,issue-14678.md
cri-tools,Repository Access,403 Forbidden,Incompatible URL Format,issue-14691.md
apache2,Startup,"WARNING: PassengerPreStart cannot occur within <VirtualHost> section
apache2.service: Main process exited, code=exited, status=1/FAILURE
apache2.service: Failed with result 'exit-code'.",Configuration Error,issue-14698.md
OBS_Server,Installation,"The pattern should be reported as installed, after installing it. It should not report being installed with `Nothing to do.`.",Inconsistent state,issue-14699.md
jenkins,Database Insertion,Mysql2::Error: Duplicate entry 'Package-345246-56888' for key 'index_watched_items_on_type_id_and_user_id',Duplicate Entry,issue-14700.md
Packages.gz,Update and Sync,"File has unexpected size (31908 != 32166). Mirror sync in progress? [IP: 2a04:4e42:3a::347 443]
Hashes of expected file:
- Filesize:32166 [weak]
- SHA256:d12781b382dd33e1889cca7806cc3e26a04536ae0ddc740913ca56c19b410c98
- SHA1:cfd05d91c26a9fb54888854d250c34e53671dcfd [weak]
- MD5Sum:b1b9a3abda4d102afcda326951b22492 [weak]
Release file created at: Tue, 25 Jul 2023 08:22:00 +0000",Inconsistency,issue-14701.md
,,,,issue-14709.md
,,,,issue-14718.md
,GitLab Status Reporting,Failed to report back to GitLab: Bad request. Please modify your request and try again.,API Error,issue-14734.md
vagrant-libvirt,Updating package attributes,Adding `scmsync` attribute to an existing package does not reset the `package_kind`. This leads to all kind of weird errors throughout the app.,AttributeMismatch,issue-14743.md
rpmlint-Factory,Build,nothing provides rpmlint-mini needed by rpmlint-Factory,missing dependencies,issue-14749.md
trivy,branching,"<status code=""404"">
  <summary>_link: no such file</summary>
  <details>404 _link: no such file</details>
</status>",missing_file,issue-14753.md
,,,,issue-14756.md
BsRequest,Forward Request,"Failed to forward BsRequest: 1102123, error: MaintenanceHelper::MissingAction",Missing Action,issue-14758.md
hw-probe,build,unresolvable status of new builds w/o any building activity,missing dependencies,issue-14768.md
obs-server.x86_64-oem.iso,Download,"Resource is no longer available!
Error 404",MissingResource,issue-14775.md
vagrant-libvirt,SCM Sync URL Configuration,The `scmsync` url is wrong and points to `pool/vagrant-libvirt` instead of `defolos/vagrant-libvirt`.,Incorrect Repository URL,issue-14776.md
None,Runtime Error,undefined local variable or method `user' for #<Webui::Groups::UsersController:0x0000000004d8c8>,Undefined Variable,issue-14807.md
autossh,Routing or Request Handling,"# key{repostitory} not found
Did you mean?  :repository

Backtrace:
83:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/routing/redirection.rb -> **%**
83:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/routing/redirection.rb -> **path**
25:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/routing/redirection.rb -> **serve**
21:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/routing/mapper.rb -> **block in &lt;class:Constraints&gt;**
48:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/routing/mapper.rb -> **serve**
50:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/journey/router.rb -> **block in serve**
32:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/journey/router.rb -> **each**
32:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/journey/router.rb -> **serve**
852:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/routing/route_set.rb -> **call**
72:  /GEM_ROOT/gems/flipper-0.28.3/lib/flipper/middleware/memoizer.rb -> **memoized_call**
37:  /GEM_ROOT/gems/flipper-0.28.3/lib/flipper/middleware/memoizer.rb -> **call**
15:  config/initializers/prefer_xml_over_html.rb -> **call**
44:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/deflater.rb -> **call**
15:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/tempfile_reaper.rb -> **call**
27:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/etag.rb -> **call**
27:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/conditional_get.rb -> **call**
12:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/head.rb -> **call**
38:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/http/permissions_policy.rb -> **call**
36:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/http/content_security_policy.rb -> **call**
266:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/session/abstract/id.rb -> **context**
260:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/session/abstract/id.rb -> **call**
704:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/cookies.rb -> **call**
27:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/callbacks.rb -> **block in call**
99:  /GEM_ROOT/gems/activesupport-7.0.6/lib/active_support/callbacks.rb -> **run_callbacks**
26:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/callbacks.rb -> **call**
32:  /GEM_ROOT/gems/airbrake-9.4.3/lib/airbrake/rack/middleware.rb -> **call!**
21:  /GEM_ROOT/gems/airbrake-9.4.3/lib/airbrake/rack/middleware.rb -> **call**
28:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/debug_exceptions.rb -> **call**
29:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/show_exceptions.rb -> **call**
18:  /GEM_ROOT/gems/lograge-0.13.0/lib/lograge/rails_ext/rack/logger.rb -> **call_app**
25:  /GEM_ROOT/gems/railties-7.0.6/lib/rails/rack/logger.rb -> **block in call**
99:  /GEM_ROOT/gems/activesupport-7.0.6/lib/active_support/tagged_logging.rb -> **block in tagged**
37:  /GEM_ROOT/gems/activesupport-7.0.6/lib/active_support/tagged_logging.rb -> **tagged**
99:  /GEM_ROOT/gems/activesupport-7.0.6/lib/active_support/tagged_logging.rb -> **tagged**
25:  /GEM_ROOT/gems/railties-7.0.6/lib/rails/rack/logger.rb -> **call**
93:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/remote_ip.rb -> **call**
93:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/remote_ip.rb -> **call**
19:  /GEM_ROOT/gems/request_store-1.5.1/lib/request_store/middleware.rb -> **call**
26:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/request_id.rb -> **call**
24:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/method_override.rb -> **call**
22:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/runtime.rb -> **call**
29:  /GEM_ROOT/gems/activesupport-7.0.6/lib/active_support/cache/strategy/local_cache_middleware.rb -> **call**
14:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/executor.rb -> **call**
18:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/lock.rb -> **call**
110:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/sendfile.rb -> **call**
131:  /GEM_ROOT/gems/actionpack-7.0.6/lib/action_dispatch/middleware/host_authorization.rb -> **call**
530:  /GEM_ROOT/gems/railties-7.0.6/lib/rails/engine.rb -> **call**
226:  /GEM_ROOT/gems/railties-7.0.6/lib/rails/railtie.rb -> **public_send**
226:  /GEM_ROOT/gems/railties-7.0.6/lib/rails/railtie.rb -> **method_missing**
74:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/urlmap.rb -> **block in call**
58:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/urlmap.rb -> **each**
58:  /GEM_ROOT/gems/rack-2.2.8/lib/rack/urlmap.rb -> **call**
107:  /usr/lib64/ruby/gems/3.1.0/gems/passenger-6.0.14/src/ruby_supportlib/phusion_passenger/rack/thread_handler_extension.rb -> **process_request**
149:  /usr/lib64/ruby/gems/3.1.0/gems/passenger-6.0.14/src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb -> **accept_and_process_next_request**
110:  /usr/lib64/ruby/gems/3.1.0/gems/passenger-6.0.14/src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb -> **main_loop**
419:  /usr/lib64/ruby/gems/3.1.0/gems/passenger-6.0.14/src/ruby_supportlib/phusion_passenger/request_handler.rb -> **block (3 levels) in start_threads**
113:  /usr/lib64/ruby/gems/3.1.0/gems/passenger-6.0.14/src/ruby_supportlib/phusion_passenger/utils.rb -> **block in create_thread_and_abort_on_exception**",Missing or Incorrect Configuration,issue-14824.md
None,API Call,"Server returned an error: HTTP Error 404: Not Found
Package not found: home:dancermak/",Missing Parameters,issue-14828.md
,,,,issue-14843.md
glibc:testsuite,checkconstraints,"Server returned an error: HTTP Error 404: Not Found
Package not found: openSUSE:Factory/glibc:testsuite",missing dependencies,issue-14844.md
obs,Project Access,500: Internal Server Error,Configuration Issue,issue-14849.md
filesystem,Installation,"./lib64: Can't replace existing directory with non-directory: Directory not empty
./sbin: Can't replace existing directory with non-directory: Directory not empty",Incompatible File Types,issue-14852.md
None,request#show,"# undefined method `name' for nil:NilClass

    src_pkg_obj = Package.find_by_project_and_name(src_prj_obj.name, action.source_package)
                                                              ^^^^^",nil object method call,issue-14867.md
open-build-service,Notification Handling,Code 500 error when accessing notification index view due to nil notifiable,Bug,issue-14874.md
telegram-desktop,URL routing,"No route matches {:action=>""index"", :arch=>""repo"", :controller=>""webui/packages/binaries"", :filename=>""repoindex.xml"", :package_name=>""telegram-desktop"", :project_name=>""openSUSE:Factory"", :repository_name=>nil}, possible unmatched constraints: [:repository_name]",Routing Error,issue-14879.md
opensuse-tumbleweed,runtime,groupadd & useradd binaries are no longer working in the image,missing_dependencies,issue-14904.md
perl-BSSolv,API Response Processing,Filesize reported as 18_446_744_071_737_562_639 instead of correct value,Data Conversion Error,issue-14928.md
,,,,issue-14944.md
,,,,issue-14969.md
,Configuration and Workflow Execution,The publishing flag is not being applied correctly during the workflow execution despite being set in the configuration.,Misconfiguration,issue-14978.md
,User Interaction,,User Interface/Bug,issue-15000.md
frei0r-plugins,Installation/Configuration,None,Missing newer version,issue-15020.md
None,notifications#index,"undefined method `commentable' for nil:NilClass

link_for_commentables_on_reportables(commentable: reportable.commentable)
                                                              ^^^^^^^^^^^^",RuntimeError,issue-15081.md
fldigi,submissions#create,Mysql2::Error: Data too long for column 'payload' at row 1,Data Length Exceeds Column Limit,issue-15104.md
zstd,rebuild,,None,issue-15108.md
,Triggering rebuild,Internal Server Error (Error 500),Missing required parameter,issue-15114.md
,,,,issue-15122.md
None,trigger#create,"undefined method `payload' for nil:NilClass
raise Token::Errors::MissingPayload, 'A payload is required' if @scm_webhook.payload.blank?",nil_reference_error,issue-15134.md
,Repository Configuration and Package Download,"The issue was related to incorrect repository configuration leading to the dodup service downloading the wrong architecture packages. After adding an archfilter and adjusting the configuration, the problem seemed to persist until an update of repositories, removal of archfilter, and a reset on the dod repository resolved the issue.",Incorrect Configuration,issue-15137.md
,,,,issue-15157.md
qubes-db,build,,missing dependencies,issue-15159.md
,Frontend Interaction,,Bug,issue-15166.md
None,Routing Error,"No route matches {:action=>""show"", :controller=>""webui/project"", :notification_id=>43989825, :project=>nil}, possible unmatched constraints: [:project]",Routing Issue,issue-15182.md
,Publishing,"after all packages compiled, repositories are not published, just marks as 'jobs are pending'",Publishing Queue Issue,issue-15197.md
dockerfile-example,build,The release number is always stuck at 1.1 despite rebuilding or updating the Dockerfile.,versioning_issue,issue-15210.md
,Accessing notifications,500: Internal Server Error,Server-side issue,issue-15213.md
open-build-service,Conversation tab interaction,None,Bug,issue-15241.md
,Posting request commenting via osc,"Server returned an error: HTTP Error 400: Bad Request
Parent belongs to different object",Bug,issue-15268.md
,webhook execution,"Hook executed successfully but returned HTTP 401 <status code=""scm_token_invalid""> <summary>Your SCM token secret is not properly set in your OBS workflow token. Check https://openbuildservice.org/help/manuals/obs-user-guide/cha.obs.scm_ci_workflow_integration.html#sec.obs.obs_scm_ci_workflow_integration.setup.token_authentication.how_to_authenticate_scm_with_obs</summary> </status>",authentication_failure,issue-15269.md
